"Año","Mes","Nacionalidad","Codigo M49","Femenino","Masculino","Indefinido","Total","Ubicación PCM"
"2012","Enero","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","297","339",,"636","(0.814836,-77.662532)"
"2012","Enero","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","7","12",,"19","(10.408582,-75.538003)"
"2012","Enero","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","76","133",,"209","(10.445761,-75.516429)"
"2012","Enero","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","55","70",,"125","(10.886611,-74.776708)"
"2012","Enero","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","0","4",,"4","(11.117806,-74.232622)"
"2012","Enero","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","1,265","1,721",,"2,986","(11.360009,-72.129330)"
"2012","Enero","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","1","0",,"1","(11.528919,-72.919681)"
"2012","Enero","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","13","13",,"26","(12.586067,-81.702563)"
"2012","Enero","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","53","58",,"111","(3.541112,-76.384584)"
"2012","Enero","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","5,306","6,178",,"11,484","(4.697144,-74.140516)"
"2012","Enero","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","7","24",,"31","(4.815061,-75.736532)"
"2012","Enero","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","362","421",,"783","(6.171601,-75.427454)"
"2012","Enero","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","5","3",,"8","(6.185799,-67.483929)"
"2012","Enero","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","67","81",,"148","(7.088729,-70.740253)"
"2012","Enero","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","3","1",,"4","(7.128456,-73.183637)"
"2012","Enero","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","1,767","1,997",,"3,764","(7.818934,-72.453226)"
"2012","Enero","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","431","487",,"918","(7.927209,-72.507910)"
"2012","Enero","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","1","1",,"2","(8.635765,-77.346578)"
"2012","Febrero","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","95","123",,"218","(0.814836,-77.662532)"
