Año;NOMBRE_ESTANDAR;Total_por_año;Registros;total_bogota;pct_2021;ven_estimados;pob_bog;tasa_ven_1000
2014;ANTONIO NARINO;292093;232;61339,53;0,012288526;753,7723861;7231097;0,104
2014;BARRIOS UNIDOS;292093;232;61339,53;0,012658047;776,4386553;7231097;0,107
2014;BOSA;292093;232;61339,53;0,090925184;5577,308032;7231097;0,771
2014;CANDELARIA;292093;232;61339,53;0,003576155;219,3596767;7231097;0,030
2014;CHAPINERO;292093;232;61339,53;0,017969647;1102,249717;7231097;0,152
2014;CIUDAD BOLIVAR;292093;232;61339,53;0,0925776;5678,666484;7231097;0,785
2014;ENGATIVA;292093;232;61339,53;0,093705615;5747,8584;7231097;0,795
2014;FONTIBON;292093;232;61339,53;0,041206453;2527,584441;7231097;0,350
2014;KENNEDY;292093;232;61339,53;0,14332416;8791,436626;7231097;1,216
2014;LOS MARTIRES;292093;232;61339,53;0,036073503;2212,731716;7231097;0,306
2014;PUENTE ARANDA;292093;232;61339,53;0,014461962;887,0899809;7231097;0,123
2014;RAFAEL URIBE URIBE;292093;232;61339,53;0,055886036;3428,023161;7231097;0,474
2014;SAN CRISTOBAL;292093;232;61339,53;0,024911066;1528,033108;7231097;0,211
2014;SANTA FE;292093;232;61339,53;0,018462959;1132,509197;7231097;0,157
2014;SUBA;292093;232;61339,53;0,166231264;10196,54762;7231097;1,410
2014;TEUSAQUILLO;292093;232;61339,53;0,009816786;602,1570347;7231097;0,083
2014;TUNJUELITO;292093;232;61339,53;0,026661532;1635,405842;7231097;0,226
2014;USAQUEN;292093;232;61339,53;0,08634705;5296,487436;7231097;0,732
2014;USME;292093;232;61339,53;0,052756978;3236,088205;7231097;0,448
2015;ANTONIO NARINO;328947;267;69078,87;0,012288526;848,877464;7250675;0,117
2015;BARRIOS UNIDOS;328947;267;69078,87;0,012658047;874,403585;7250675;0,121
2015;BOSA;328947;267;69078,87;0,090925184;6281,008943;7250675;0,866
2015;CANDELARIA;328947;267;69078,87;0,003576155;247,0367574;7250675;0,034
2015;CHAPINERO;328947;267;69078,87;0,017969647;1241,322927;7250675;0,171
2015;CIUDAD BOLIVAR;328947;267;69078,87;0,0925776;6395,156008;7250675;0,882
2015;ENGATIVA;328947;267;69078,87;0,093705615;6473,078016;7250675;0,893
2015;FONTIBON;328947;267;69078,87;0,041206453;2846,495189;7250675;0,393
2015;KENNEDY;328947;267;69078,87;0,14332416;9900,671032;7250675;1,365
2015;LOS MARTIRES;328947;267;69078,87;0,036073503;2491,91682;7250675;0,344
2015;PUENTE ARANDA;328947;267;69078,87;0,014461962;999,0160255;7250675;0,138
